Galar Pokedex Number,Pokemon,Ability I,Ability II,Hidden Ability,Type I,Type II,HP,Atk,Def,SpAtk,SpDef,Speed,Weight_kg,Height_m,Weight_lbs,Height_ft,Cap_Rate,Egg_Steps,Classification
345,Falinks,Battle Armor,NaN,Defiant,fighting,NaN,65,100,100,70,60,75,62.0,3.0,136.7,9.833,45.0,6400.0,Formation Pokémon
346,Drampa,Berserk,Sap Sipper,Cloud Nine,normal,dragon,78,60,85,135,91,36,185.0,3.0,407.8,9.833,70.0,5120.0,Placid Pokémon
347,Turtonator,Shell Armor,NaN,NaN,fire,dragon,60,78,135,91,85,36,212.0,2.0,467.4,6.583,70.0,5120.0,Blast Turtle Pokémon
348,Togedemaru,Iron Barbs,Lightning Rod,Sturdy,electric,steel,65,98,63,40,73,96,3.3,0.3,7.3,1.0,180.0,2560.0,Roly-Poly Pokémon
349,Snom,Shield Dust,NaN,Ice Scales,ice,bug,30,25,35,45,30,20,3.8,0.3,8.4,1.0,190.0,5120.0,Worm Pokémon
350,Frosmoth,Shield Dust,NaN,Ice Scales,ice,bug,70,65,60,125,90,65,42.0,1.3,92.6,4.25,75.0,5120.0,Frost Moth Pokémon
351,Clobbopus,Limber,NaN,Technician,fighting,NaN,50,68,60,50,50,32,4.0,0.6,8.8,2.0,180.0,6400.0,Tantrum Pokémon
352,Grapploct,Limber,NaN,Technician,fighting,NaN,80,118,90,70,80,42,39.0,1.6,86.0,5.25,45.0,6400.0,Jujitsu Pokémon
353,Pincurchin,Lightning Rod,NaN,Electric Surge,electric,NaN,48,101,95,91,85,15,1.0,0.3,2.2,1.0,75.0,5120.0,Sea Urchin Pokémon
354,Mantyke,Swift Swim,Water Absorb,Water Veil,water,flying,45,20,50,60,120,50,65.0,1.0,143.3,3.25,25.0,6400.0,Kite Pokémon
355,Mantine,Swift Swim,Water Absorb,Water Veil,water,flying,85,40,70,80,140,70,220.0,2.1,485.0,6.917,25.0,6400.0,Kite Pokémon
356,Wailmer,Water Veil,Oblivious,Pressure,water,NaN,130,70,35,70,35,60,130.0,2.0,286.6,6.583,125.0,10240.0,Ball Whale Pokémon
357,Wailord,Water Veil,Oblivious,Pressure,water,NaN,170,90,45,90,45,60,398.0,14.5,877.4,47.583,60.0,10240.0,Float Whale Pokémon
358,Bergmite,Own Tempo,Ice Body,Sturdy,ice,NaN,55,69,85,32,35,28,99.5,1.0,219.4,3.25,190.0,5120.0,Ice Chunk Pokémon
359,Avalugg,Own Tempo,Ice Body,Sturdy,ice,NaN,95,117,184,44,46,28,505.0,2.0,1113.3,6.583,55.0,5120.0,Iceberg Pokémon
360,Dhelmise,Steelworker,NaN,NaN,ghost,grass,70,131,100,86,90,40,210.0,3.9,463.0,12.833,25.0,6400.0,Sea Creeper Pokémon
361,Lapras,Water Absorb,Shell Armor,Hydration,water,ice,130,85,80,85,95,60,220.0,2.5,485.0,8.167,45.0,10240.0,Transport Pokémon
362,Lunatone,Levitate,NaN,NaN,rock,psychic,90,55,65,95,85,70,168.0,1.0,370.4,3.25,45.0,6400.0,Meteorite Pokémon
363,Solrock,Levitate,NaN,NaN,rock,psychic,90,95,85,55,65,70,154.0,1.2,339.5,3.917,45.0,6400.0,Meteorite Pokémon
364,MimeJr,Soundproof,Filter,Technician,psychic,fairy,20,25,45,70,90,60,13.0,0.6,28.7,2.0,145.0,6400.0,Mime Pokémon
365,MrMime,Vital Spirit,Screen Cleaner,Ice Body,ice,psychic,50,65,65,90,90,100,54.5,1.3,120.2,4.25,45.0,6400.0,Barrier Pokémon
366,MrRime,Tangled Feet,Screen Cleaner,Ice Body,ice,psychic,80,85,75,110,100,70,58.2,1.5,128.3,4.917,45.0,6400.0,Comedian Pokémon
367,Darumaka,Hustle,NaN,Inner Focus,ice,NaN,70,90,45,15,45,50,37.5,0.6,82.7,2.0,120.0,5120.0,Zen Charm Pokémon (Unovan)Zen Charm Pokémonn (Galarian)
368,Darmanitan,Gorilla Tactics,NaN,Zen Mode,ice,NaN,105,140,55,30,55,95,92.9,1.3,204.8,4.25,60.0,5120.0,Blazing Pokémon (Unovan)Zen Charm Pokémonn (Galarian)
369,Stonjourner,Power Spot,NaN,NaN,rock,NaN,100,125,135,20,20,70,520.0,2.5,1146.4,8.167,60.0,6400.0,Big Rock Pokémon
370,Eiscue,Ice Face,NaN,NaN,ice,NaN,75,80,110,65,90,50,89.0,1.4,196.2,4.583,60.0,6400.0,Penguin Pokémon
371,Duraludon,Light Metal,Heavy Metal,Stalwart,steel,dragon,70,95,115,120,50,85,40.0,1.8,88.2,5.917,45.0,7680.0,Alloy Pokémon
372,Rotom,Levitate,NaN,NaN,electric,ghost,50,50,77,95,77,91,0.3,0.3,0.7,1.0,45.0,5120.0,Plasma Pokémon
373,Ditto,Limber,NaN,Imposter,normal,NaN,48,48,48,48,48,48,4.0,0.3,8.8,1.0,35.0,5120.0,Transform Pokémon
374,Dracozolt,Volt Absorb,Hustle,Sand Rush,electric,dragon,90,100,90,80,70,75,190.0,1.8,418.9,5.917,45.0,8960.0,Fossil Pokémon
375,Arctozolt,Volt Absorb,Static,Slush Rush,electric,ice,90,100,90,90,80,55,150.0,2.3,330.7,7.583,45.0,8960.0,Fossil Pokémon
376,Dracovish,Water Absorb,Strong Jaw,Sand Rush,water,dragon,90,90,100,70,80,75,215.0,2.3,474.0,7.583,45.0,8960.0,Fossil Pokémon
377,Arctovish,Water Absorb,Ice Body,Slush Rush,water,ice,90,90,100,80,90,55,175.0,2.0,385.8,6.583,45.0,8960.0,Fossil Pokémon
378,Charmander,Blaze,NaN,Solar Power,fire,NaN,39,52,43,60,50,65,8.5,0.6,18.7,2.0,45.0,5120.0,Lizard Pokémon
379,Charmeleon,Blaze,NaN,Solar Power,fire,NaN,58,64,58,80,65,80,19.0,1.1,41.9,3.583,45.0,5120.0,Flame Pokémon
380,Charizard,Blaze,NaN,Solar Power,fire,flying,78,84,78,109,85,100,90.5,1.7,199.5,5.583,45.0,5120.0,Flame Pokémon
381,TypeNull,Battle Armor,NaN,NaN,normal,NaN,95,95,95,95,95,59,120.5,1.9,265.7,6.25,3.0,30720.0,Synthetic Pokémon
382,Silvally,RKS System,NaN,NaN,normal,NaN,95,95,95,95,95,95,100.5,2.3,221.6,7.583,3.0,30720.0,Synthetic Pokémon
383,Larvitar,Guts,NaN,Sand Veil,rock,ground,50,64,50,45,50,41,72.0,0.6,158.7,2.0,45.0,10240.0,Rock Skin Pokémon
384,Pupitar,Shed Skin,NaN,NaN,rock,ground,70,84,70,65,70,51,152.0,1.2,335.1,3.917,45.0,10240.0,Hard Shell Pokémon
385,Tyranitar,Sand Stream,NaN,Unnerve,rock,dark,100,134,110,95,100,61,202.0,2.0,445.3,6.583,45.0,10240.0,Armor Pokémon
386,Deino,Hustle,NaN,NaN,dark,dragon,52,65,50,45,50,38,17.3,0.8,38.1,2.583,45.0,10240.0,Irate Pokémon
387,Zweilous,Hustle,NaN,NaN,dark,dragon,72,85,70,65,70,58,50.0,1.4,110.2,4.583,45.0,10240.0,Hostile Pokémon
388,Hydreigon,Levitate,NaN,NaN,dark,dragon,92,105,90,125,90,98,160.0,1.8,352.7,5.917,45.0,10240.0,Brutal Pokémon
389,Goomy,Sap Sipper,Hydration,Gooey,dragon,NaN,45,50,35,55,75,40,2.8,0.3,6.2,1.0,45.0,10240.0,Soft Tissue Pokémon
390,Sliggoo,Sap Sipper,Hydration,Gooey,dragon,NaN,68,75,53,83,113,60,17.5,0.8,38.6,2.583,45.0,10240.0,Soft Tissue Pokémon
391,Goodra,Sap Sipper,Hydration,Gooey,dragon,NaN,90,100,70,110,150,80,150.5,2.0,331.8,6.583,45.0,10240.0,Dragon Pokémon
392,Jangmoo,Bulletproof,Soundproof,Overcoat,dragon,NaN,45,55,65,45,45,45,29.7,0.6,65.5,2.0,45.0,10240.0,Scaly Pokémon
393,Hakamoo,Bulletproof,Soundproof,Overcoat,dragon,fighting,55,75,90,65,70,65,47.0,1.2,103.6,3.917,45.0,10240.0,Scaly Pokémon
394,Kommoo,Bulletproof,Soundproof,Overcoat,dragon,fighting,75,110,125,100,105,85,78.2,1.6,172.4,5.25,45.0,10240.0,Scaly Pokémon
395,Dreepy,Clear Body,Infiltrator,Cursed Body,dragon,ghost,28,60,30,40,30,82,2.0,0.5,4.4,1.667,45.0,10240.0,Lingering Pokémon
396,Drakloak,Clear Body,Infiltrator,Cursed Body,dragon,ghost,68,80,50,60,50,102,11.0,1.4,24.3,4.583,45.0,10240.0,Caretaker Pokémon
397,Dragapult,Clear Body,Infiltrator,Cursed Body,dragon,ghost,88,120,75,100,75,142,50.0,3.0,110.2,9.833,45.0,10240.0,Stealth Pokémon
398,Zacian,Intrepid Sword,NaN,NaN,fairy,NaN,92,130,115,80,115,138,110.0,2.8,242.5,9.167,10.0,30720.0,Warrior Pokémon
399,Zamazenta,Dauntless Shield,NaN,NaN,fighting,NaN,92,130,115,80,115,138,210.0,2.9,463.0,9.5,10.0,30720.0,Warrior Pokémon
400,Eternatus,Pressure,NaN,NaN,poison,dragon,140,85,95,145,95,130,950.0,20.0,2094.4,65.583,255.0,30720.0,Gigantic Pokémon
