Index,Pokemon,HP,Atk,Def,SpAtk,SpDef,Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Color
574,Gothita,45,30,50,55,65,45,290,Psychic,,Frisk,,Shadow Tag,Purple
575,Gothorita,60,45,70,75,85,55,390,Psychic,,Frisk,,Shadow Tag,Purple
576,Gothitelle,70,55,95,95,110,65,490,Psychic,,Frisk,,Shadow Tag,Purple
577,Solosis,45,30,40,105,50,20,290,Psychic,,Overcoat,Magic Guard,Regenerator,Green
578,Duosion,65,40,50,125,60,30,370,Psychic,,Overcoat,Magic Guard,Regenerator,Green
579,Reuniclus,110,65,75,125,85,30,490,Psychic,,Overcoat,Magic Guard,Regenerator,Green
580,Ducklett,62,44,50,44,50,55,305,Water,Flying,Keen Eye,Big Pecks,Hydration,Blue
581,Swanna,75,87,63,87,63,98,473,Water,Flying,Keen Eye,Big Pecks,Hydration,White
582,Vanillite,36,50,50,65,60,44,305,Ice,,Ice Body,,Weak Armor,White
583,Vanillish,51,65,65,80,75,59,395,Ice,,Ice Body,,Weak Armor,White
584,Vanilluxe,71,95,85,110,95,79,535,Ice,,Ice Body,,Weak Armor,White
585,Deerling,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Yellow
586,Sawsbuck,80,100,70,60,70,95,475,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Brown
587,Emolga,55,75,60,75,60,103,428,Electric,Flying,Static,,Motor Drive,White
588,Karrablast,50,75,45,40,45,60,315,Bug,,Swarm,Shed Skin,No Guard,Blue
589,Escavalier,70,135,105,60,105,20,495,Bug,Steel,Swarm,Shell Armor,Overcoat,Gray
590,Foongus,69,55,45,55,55,15,294,Grass,Poison,Effect Spore,,Regenerator,White
591,Amoonguss,114,85,70,85,80,30,464,Grass,Poison,Effect Spore,,Regenerator,White
592,Frillish,55,40,50,65,85,40,335,Water,Ghost,Water Absorb,Cursed Body,,White
593,Jellicent,100,60,70,85,105,60,480,Water,Ghost,Water Absorb,Cursed Body,Damp,White
594,Alomomola,165,75,80,40,45,65,470,Water,,Healer,Hydration,Regenerator,Pink
595,Joltik,50,47,50,57,50,65,319,Bug,Electric,Compoundeyes,Unnerve,Swarm,Yellow
596,Galvantula,70,77,60,97,60,108,472,Bug,Electric,Compoundeyes,Unnerve,Swarm,Yellow
597,Ferroseed,44,50,91,24,86,10,305,Grass,Steel,Iron Barbs,,,Gray
598,Ferrothorn,74,94,131,54,116,20,489,Grass,Steel,Iron Barbs,,,Gray
599,Klink,40,55,70,45,60,30,300,Steel,,Plus,Minus,Clear Body,Gray
600,Klang,60,80,95,70,85,50,440,Steel,,Plus,Minus,Clear Body,Gray
601,Klinklang,60,100,115,70,85,90,520,Steel,,Plus,Minus,Clear Body,Gray
602,Tynamo,35,55,40,45,40,60,275,Electric,,Levitate,,,White
603,Eelektrik,65,85,70,75,70,40,405,Electric,,Levitate,,,Blue
604,Eelektross,85,115,80,105,80,50,515,Electric,,Levitate,,,Blue
605,Elgyem,55,55,55,85,55,30,335,Psychic,,Telepathy,Synchronize,Analytic,Blue
606,Beheeyem,75,75,75,125,95,40,485,Psychic,,Telepathy,Synchronize,Analytic,Brown
607,Litwick,50,30,55,65,55,20,275,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,White
608,Lampent,60,40,60,95,60,55,370,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,Black
609,Chandelure,60,55,90,145,90,80,520,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,Black
610,Axew,46,87,60,30,40,57,320,Dragon,,Rivalry,Mold Breaker,Unnerve,Green
611,Fraxure,66,117,70,40,50,67,410,Dragon,,Rivalry,Mold Breaker,Unnerve,Green
612,Haxorus,76,147,90,60,70,97,540,Dragon,,Rivalry,Mold Breaker,Unnerve,Yellow
613,Cubchoo,55,70,40,60,40,40,305,Ice,,Snow Cloak,,Rattled,White
614,Beartic,95,110,80,70,80,50,485,Ice,,Snow Cloak,,Swift Swim,White
615,Cryogonal,70,50,30,95,135,105,485,Ice,,Levitate,,,Blue
616,Shelmet,50,40,85,40,65,25,305,Bug,,Hydration,Shell Armor,Overcoat,Red
617,Accelgor,80,70,40,100,60,145,495,Bug,,Hydration,Sticky Hold,Unburden,Red
618,Stunfisk,109,66,84,81,99,32,471,Ground,Electric,Static,Limber,Sand Veil,Brown
619,Mienfoo,45,85,50,55,50,65,350,Fighting,,Inner Focus,Regenerator,Reckless,Yellow
620,Mienshao,65,125,60,95,60,105,510,Fighting,,Inner Focus,Regenerator,Reckless,Purple
621,Druddigon,77,120,90,60,90,48,485,Dragon,,Rough Skin,Sheer Force,Mold Breaker,Red
622,Golett,59,74,50,35,50,35,303,Ground,Ghost,Iron Fist,Klutz,No Guard,Green
623,Golurk,89,124,80,55,80,55,483,Ground,Ghost,Iron Fist,Klutz,No Guard,Green
624,Pawniard,45,85,70,40,40,60,340,Dark,Steel,Defiant,Inner Focus,Pressure,Red
625,Bisharp,65,125,100,60,70,70,490,Dark,Steel,Defiant,Inner Focus,Pressure,Red
626,Bouffalant,95,110,95,40,95,55,490,Normal,,Reckless,Sap Sipper,Soundproof,Brown
627,Rufflet,70,83,50,37,50,60,350,Normal,Flying,Keen Eye,Sheer Force,Hustle,White
628,Braviary,100,123,75,57,75,80,510,Normal,Flying,Keen Eye,Sheer Force,Defiant,Red
629,Vullaby,70,55,75,45,65,60,370,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Brown
630,Mandibuzz,110,65,105,55,95,80,510,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Brown
631,Heatmor,85,97,66,105,66,65,484,Fire,,Gluttony,Flash Fire,White Smoke,Red
632,Durant,58,109,112,48,48,109,484,Bug,Steel,Swarm,Hustle,Truant,Gray
633,Deino,52,65,50,45,50,38,300,Dark,Dragon,Hustle,,,Blue
634,Zweilous,72,85,70,65,70,58,420,Dark,Dragon,Hustle,,,Blue
635,Hydreigon,92,105,90,125,90,98,600,Dark,Dragon,Levitate,,,Blue
636,Larvesta,55,85,55,50,55,60,360,Bug,Fire,Flame Body,,Swarm,White
637,Volcarona,85,60,65,135,105,100,550,Bug,Fire,Flame Body,,Swarm,White
638,Cobalion,91,90,129,90,72,108,580,Steel,Fighting,Justified,,,Blue
639,Terrakion,91,129,90,72,90,108,580,Rock,Fighting,Justified,,,Gray
640,Virizion,91,90,72,90,129,108,580,Grass,Fighting,Justified,,,Green
641,Tornadus,79,115,70,125,80,111,580,Flying,,Prankster,,Defiant,Green
642,Thundurus,79,115,70,125,80,111,580,Electric,Flying,Prankster,,Defiant,Blue
643,Reshiram,100,120,100,150,120,90,680,Dragon,Fire,Turboblaze,,,White
644,Zekrom,100,150,120,120,100,90,680,Dragon,Electric,Teravolt,,,Black
645,Landorus,89,125,90,115,80,101,600,Ground,Flying,Sand Force,,Sheer Force,Brown
646,Kyurem,125,130,90,130,90,95,660,Dragon,Ice,Pressure,,,Gray
647,Keldeo,91,72,90,129,90,108,580,Water,Fighting,Justified,,,Yellow
648,Meloetta (A),100,77,77,128,128,90,600,Normal,Psychic,Serene Grace,,,White
648.1,Meloetta (P),100,128,90,77,77,128,600,Normal,Fighting,Serene Grace,,,White
649,Genesect,71,120,95,120,95,99,600,Bug,Steel,Download,,,Purple
650,Chespin,56,61,65,48,45,38,313,Grass,,Overgrow,,Bulletproof,Green
651,Quilladin,61,78,95,56,58,57,405,Grass,,Overgrow,,Bulletproof,Green
652,Chesnaught,88,107,122,74,75,64,530,Grass,Fighting,Overgrow,,Bulletproof,Green
653,Fennekin,40,45,40,62,60,60,307,Fire,,Blaze,,Magician,Red
654,Braixen,59,59,58,90,70,73,409,Fire,,Blaze,,Magician,Red
655,Delphox,75,69,72,114,100,104,534,Fire,Psychic,Blaze,,Magician,Red
656,Froakie,41,56,40,62,44,71,314,Water,,Torrent,,Protean,Blue
657,Frogadier,54,63,52,83,56,97,405,Water,,Torrent,,Protean,Blue
658,Greninja,72,95,67,103,71,122,530,Water,Dark,Torrent,,Protean,Blue
659,Bunnelby,38,36,38,32,36,57,237,Normal,,Pickup,Cheek Pouch,Huge Power,Brown
660,Diggersby,85,56,77,50,77,78,423,Normal,Ground,Pickup,Cheek Pouch,Huge Power,Brown
661,Fletchling,45,50,43,40,38,62,278,Normal,Flying,Big Pecks,,Gale Wings,Red
662,Fletchinder,62,73,55,56,52,84,382,Fire,Flying,Flame Body,,Gale Wings,Red
663,Talonflame,78,81,71,74,69,126,499,Fire,Flying,Flame Body,,Gale Wings,Red
664,Scatterbug,38,35,40,27,25,35,200,Bug,,Shield Dust,Compound Eyes,Friend Guard,Black
665,Spewpa,45,22,60,27,30,29,213,Bug,,Shed Skin,,Friend Guard,Black
666,Vivillon,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Black
667,Litleo,62,50,58,73,54,72,369,Fire,Normal,Rivalry,Unnerve,Moxie,Brown
668,Pyroar,86,68,72,109,66,106,507,Fire,Normal,Rivalry,Unnerve,Moxie,Brown
669,Flabébé,44,38,39,61,79,42,303,Fairy,,Flower Veil,,Symbiosis,White
670,Floette,54,45,47,75,98,52,371,Fairy,,Flower Veil,,Symbiosis,White
671,Florges,78,65,68,112,154,75,552,Fairy,,Flower Veil,,Symbiosis,White
672,Skiddo,66,65,48,62,57,52,350,Grass,,Sap Sipper,,Grass Pelt,Brown
673,Gogoat,123,100,62,97,81,68,531,Grass,,Sap Sipper,,Grass Pelt,Brown
674,Pancham,67,82,62,46,48,43,348,Fighting,,Iron Fist,Mold Breaker,Scrappy,White
675,Pangoro,95,124,78,69,71,58,495,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,White
676,Furfrou,75,80,60,65,90,102,472,Normal,,Fur Coat,,,White
677,Espurr,62,48,54,63,60,68,355,Psychic,,Keen Eye,Infiltrator,Own Tempo,Gray
678,Meowstic,74,48,76,83,81,104,466,Psychic,,Keen Eye,Infiltrator,Prankster (M) or Competitive (F),White
679,Honedge,45,80,100,35,37,28,325,Steel,Ghost,No Guard,,,Brown
680,Doublade,59,110,150,45,49,35,448,Steel,Ghost,No Guard,,,Brown
681,Aegislash,60,50,150,50,150,60,520,Steel,Ghost,Stance Change,,,Brown
682,Spritzee,78,52,60,63,65,23,341,Fairy,,Healer,,Aroma Veil,Pink
683,Aromatisse,101,72,72,99,89,29,462,Fairy,,Healer,,Aroma Veil,Pink
684,Swirlix,62,48,66,59,57,49,341,Fairy,,Sweet Veil,,Unburden,White
685,Slurpuff,82,80,86,85,75,72,480,Fairy,,Sweet Veil,,Unburden,White
686,Inkay,53,54,53,37,46,45,288,Dark,Psychic,Suction Cups,Contrary,Infiltrator,Blue
687,Malamar,86,92,88,68,75,73,482,Dark,Psychic,Suction Cups,Contrary,Infiltrator,Blue
688,Binacle,42,52,67,39,56,50,306,Rock,Water,Sniper,Tough Claws,Pickpocket,Brown
689,Barbaracle,72,105,115,54,86,68,500,Rock,Water,Sniper,Tough Claws,Pickpocket,Brown
690,Skrelp,50,60,60,60,60,30,320,Poison,Water,Poison Point,Poison Touch,Adaptability,Brown
691,Dragalge,65,75,90,97,123,44,494,Poison,Dragon,Poison Point,Poison Touch,Adaptability,Brown
692,Clauncher,50,53,62,58,63,44,330,Water,,Mega Launcher,,,Blue
693,Clawitzer,71,73,88,120,89,59,500,Water,,Mega Launcher,,,Blue
694,Helioptile,44,38,33,61,43,70,289,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Yellow
695,Heliolisk,62,55,52,109,94,109,481,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Yellow
696,Tyrunt,58,89,77,45,45,48,362,Rock,Dragon,Strong Jaw,,Sturdy,Brown
697,Tyrantrum,82,121,119,69,59,71,521,Rock,Dragon,Strong Jaw,,Sturdy,Red
698,Amaura,77,59,50,67,63,46,362,Rock,Ice,Refrigerate,,Snow Warning,Blue
699,Aurorus,123,77,72,99,92,58,521,Rock,Ice,Refrigerate,,Snow Warning,Blue
700,Sylveon,95,65,65,110,130,60,525,Fairy,,Cute Charm,,Pixilate,Pink
701,Hawlucha,78,92,75,74,63,118,500,Fighting,Flying,Unburden,Limber,Mold Breaker,Green
702,Dedenne,67,58,57,81,67,101,431,Electric,Fairy,Cheek Pouch,Pickup,Plus,Yellow
703,Carbink,50,50,150,50,150,50,500,Rock,Fairy,Clear Body,,Sturdy,Gray
704,Goomy,45,50,35,55,75,40,300,Dragon,,Sap Sipper,Hydration,Gooey,Purple
705,Sliggoo,68,75,53,83,113,60,452,Dragon,,Sap Sipper,Hydration,Gooey,Purple
706,Goodra,90,100,70,110,150,80,600,Dragon,,Sap Sipper,Hydration,Gooey,Purple
707,Klefki,57,80,91,80,87,75,470,Steel,Fairy,Prankster,,Magician,Gray
708,Phantump,43,70,48,50,60,38,309,Ghost,Grass,Natural Cure,Frisk,Harvest,Brown
709,Trevenant,85,110,76,65,82,56,474,Ghost,Grass,Natural Cure,Frisk,Harvest,Brown
710,Pumpkaboo,44,66,70,44,55,56,335,Ghost,Grass,Pickup,Frisk,Insomnia,Brown
711,Gourgeist,55,85,122,58,75,99,494,Ghost,Grass,Pickup,Frisk,Insomnia,Brown
712,Bergmite,55,69,85,32,35,28,304,Ice,,Own Tempo,Ice Body,Sturdy,Blue
713,Avalugg,95,117,184,44,46,28,514,Ice,,Own Tempo,Ice Body,Sturdy,Blue
714,Noibat,40,30,35,45,40,55,245,Flying,Dragon,Frisk,Infiltrator,Telepathy,Purple
715,Noivern,85,70,80,97,80,123,535,Flying,Dragon,Frisk,Infiltrator,Telepathy,Purple
716,Xerneas,126,131,95,131,98,99,680,Fairy,,Fairy Aura,,,Blue
717,Yveltal,126,131,95,131,98,99,680,Dark,Flying,Dark Aura,,,Red
718,Zygarde,108,100,121,81,95,95,600,Dragon,Ground,Aura Break,,,Green
719,Diancie,50,100,150,100,150,50,600,Rock,Fairy,Clear Body,,Magic Bounce (Mega),Pink
720,Hoopa (C),80,110,60,150,130,70,600,Psychic,Ghost,Magician,,,Purple
720,Hoopa (U),80,160,60,170,130,80,680,Psychic,Dark,Magician,,,Purple
721,Volcanion,80,110,120,130,90,70,600,Fire,Water,Water Absorb,,,Brown
722,Rowlet,68,55,55,50,50,42,320,Grass,Flying,Overgrow ,Long Reach,,Brown
723,Dartrix,78,75,75,70,70,52,420,Grass,Flying,Overgrow ,Long Reach,,Brown
724,Decidueye,78,107,75,100,100,70,530,Grass,Ghost,Overgrow ,Long Reach,,Brown
725,Litten,45,65,40,60,40,70,320,Fire,,Blaze ,Intimidate,,Red
726,Torracat,65,85,50,80,50,90,420,Fire,,Blaze ,Intimidate,,Red
727,Incineroar,95,115,90,80,90,60,530,Fire,Dark,Blaze ,Intimidate,,Red
728,Popplio,50,54,54,66,56,40,320,Water,,Torrent ,Liquid Voice,,Blue
729,Brionne,60,69,69,91,81,50,420,Water,,Torrent ,Liquid Voice,,Blue
730,Primarina,80,74,74,126,116,60,530,Water,Fairy,Torrent ,Liquid Voice,,Blue
731,Pikipek,35,75,30,30,30,65,265,Normal,Flying,Keen Eye ,Skill Link ,Pickup,Black
732,Trumbeak,55,85,50,40,50,75,355,Normal,Flying,Keen Eye ,Skill Link ,Pickup,Black
733,Toucannon,80,120,75,75,75,60,485,Normal,Flying,Keen Eye ,Skill Link ,Sheer Force,Black
734,Yungoos,48,70,30,30,30,45,253,Normal,,Stakeout ,Strong Jaw ,Adaptability,Brown
735,Gumshoos,88,110,60,55,60,45,418,Normal,,Stakeout ,Strong Jaw ,Adaptability,Brown
736,Grubbin,47,62,45,55,45,46,300,Bug,,Swarm,,,Gray
737,Charjabug,57,82,95,55,75,36,400,Bug,Electric,Battery,,,Green
738,Vikavolt,77,70,90,145,75,43,500,Bug,Electric,Levitate,,,Blue
739,Crabrawler,47,82,57,42,47,63,338,Fighting,,Hyper Cutter ,Iron Fist ,Anger Point,Purple
740,Crabominable,97,132,77,62,67,43,478,Fighting,Ice,Hyper Cutter ,Iron Fist ,Anger Point,White
741,Oricorio,75,70,70,98,70,93,476,Fire,Flying,Dancer,,,Red
742,Cutiefly,40,45,40,55,40,84,304,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,Yellow
743,Ribombee,60,55,60,95,70,124,464,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,Yellow
744,Rockruff,45,65,40,30,40,60,280,Rock,,Keen Eye ,Vital Spirit ,Steadfast,Brown
745,Lycanroc (midday),75,115,65,55,65,112,487,Rock,,Keen Eye ,Sand Rush ,Steadfast,
745.1,Lycanroc (midnight),85,115,75,55,75,82,487,Rock,,Keen Eye,Vital Spirit ,No Guard,Brown
746,Wishiwashi (solo),45,20,20,25,25,40,175,Water,,Schooling,,,Blue
746.1,Wishiwashi (school),45,140,130,140,135,30,620,Water,,Schooling,,,Blue
747,Mareanie,50,53,62,43,52,45,305,Poison,Water,Merciless ,Limber ,Regenerator,Blue
748,Toxapex,50,63,152,53,142,35,495,Poison,Water,Merciless ,Limber ,Regenerator,Blue
749,Mudbray,70,100,70,45,55,45,385,Ground,,Own Tempo,Stamina ,Inner Focus,Brown
750,Mudsdale,100,125,100,55,85,35,500,Ground,,Own Tempo,Stamina ,Inner Focus,Brown
751,Dewpider,38,40,52,40,72,27,269,Water,Bug,Water Bubble ,Water Absorb,Water Absorb,Green
752,Araquanid,68,70,92,50,132,42,454,Water,Bug,Water Bubble ,Water Absorb,Water Absorb,Green
753,Fomantis,40,55,35,50,35,35,250,Grass,,Leaf Guard ,Contrary,Contrary,Pink
754,Lurantis,70,105,90,80,90,45,480,Grass,,Leaf Guard ,Contrary,Contrary,Pink
755,Morelull,40,35,55,65,75,15,285,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,Purple
756,Shiinotic,60,45,80,90,100,30,405,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,Purple
757,Salandit,48,44,40,71,40,77,320,Poison,Fire,Corrosion ,Oblivious,Oblivious,Black
758,Salazzle,68,64,60,111,60,117,480,Poison,Fire,Corrosion ,Oblivious,Oblivious,Black
759,Stufful,70,75,50,45,50,50,340,Normal,Fighting,Fluffy ,Klutz ,Cute Charm,Pink
760,Bewear,120,125,80,55,60,60,500,Normal,Fighting,Fluffy ,Klutz ,Unnerve,Pink
761,Bounsweet,42,30,38,30,38,32,210,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,Purple
762,Steenee,52,40,48,40,48,62,290,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,Purple
763,Tsareena,72,120,98,50,98,72,510,Grass,,Leaf Guard ,Queenly Majesty ,Sweet Veil,Purple
764,Comfey,51,52,90,82,110,100,485,Fairy,,Flower Veil ,Triage ,Natural Cure,Green
765,Oranguru,90,60,80,90,110,60,490,Normal,Psychic,Inner Focus ,Telepathy ,,White
766,Passimian,100,120,90,40,60,80,490,Fighting,,Receiver ,Defiant,,White
767,Wimpod,25,35,40,20,30,80,230,Bug,Water,Wimp Out,,,Gray
768,Golisopod,75,125,140,60,90,40,530,Bug,Water,Emergency Exit,,,Gray
769,Sandygast,55,55,80,70,45,15,320,Ghost,Ground,Water Compaction ,Sand Veil,Sand Veil,Brown
770,Palossand,85,75,110,100,75,35,480,Ghost,Ground,Water Compaction ,Sand Veil,Sand Veil,Brown
771,Pyukumuku,55,60,130,30,130,5,410,Water,,Innards Out,Unaware,Unaware,Black
772,Type: Null,95,95,95,95,95,59,534,Normal,,Battle Armor,,,Gray
773,Silvally,95,95,95,95,95,95,570,Normal,,RKS System,,,Gray
774,Minior (meteor),60,60,100,60,100,60,440,Rock,Flying,Shields Down,,,Brown
774.1,Minior (core),60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,Pink
775,Komala,65,115,65,75,95,65,480,Normal,,Comatose,,,Blue
776,Turtonator,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,Red
777,Togedemaru,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs ,Lightningrod,Sturdy,Gray
778,Mimikyu,55,90,80,50,105,96,476,Ghost,Fairy,Disguise,,,Yellow
779,Bruxish,68,105,70,70,70,92,475,Water,Psychic,Dazzling ,Strong Jaw ,Wonder Skin,Pink
780,Drampa,78,60,85,135,91,36,485,Normal,Dragon,Berserk ,Sap Sipper ,Cloud Nine,White
781,Dhelmise,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,Green
782,Jangmo-o,45,55,65,45,45,45,300,Dragon,,Bulletproof ,Soundproof ,Overcoat,Gray
783,Hakamo-o,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,Gray
784,Kommo-o,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,Gray
785,Tapu Koko,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge ,Telepathy,,Yellow
786,Tapu Lele,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge ,Telepathy,,Pink
787,Tapu Bulu,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge ,Telepathy,,Red
788,Tapu Fini,70,75,115,95,130,85,570,Water,Fairy,Misty Surge ,Telepathy,,Purple
789,Cosmog,43,29,31,29,31,37,200,Psychic,,Unaware,,,Blue
790,Cosmoem,43,29,131,29,131,37,400,Psychic,,Sturdy,,,Blue
791,Solgaleo,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,White
792,Lunala,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,Purple
793,Nihilego,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,White
794,Buzzwole,107,139,139,53,53,79,570,Bug,Fighting,Beast Boost,,,Red
795,Pheromosa,71,137,37,137,37,151,570,Bug,Fighting,Beast Boost,,,White
796,Xurkitree,83,89,71,173,71,83,570,Electric,,Beast Boost,,,Black
797,Celesteela,97,101,103,107,101,61,570,Steel,Flying,Beast Boost,,,Green
798,Kartana,59,181,131,59,31,109,570,Grass,Steel,Beast Boost,,,White
799,Guzzlord,223,101,53,97,53,43,570,Dark,Dragon,Beast Boost,,,Black
800,Necrozma,97,107,101,127,89,79,600,Psychic,,Prism Armor,,,Black
801,Magearna,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,Gray
802,Marshadow,90,125,80,90,90,125,600,Fighting,Ghost,Technician,,,Gray
